start_s,end_s,duration_s,type,min_spo2,delta_spo2,peak_motion,recovery_s
298.02,298.14,0.12000000000000455,recovery,86.15933560322213,0.0,0.03655377817736576,0.0
303.32,303.64,0.3199999999999932,tonic,95.64255116426682,-0.013437633961785878,0.03793101077210027,0.15999999999996817
303.66,303.82,0.15999999999996817,recovery,97.16654199614965,0.0,0.03384648442948022,0.0
305.08,305.22,0.1400000000000432,tonic,94.6107852568905,0.0,0.038820437982456546,0.15999999999996817
305.24,305.4,0.15999999999996817,recovery,92.36962798955685,-2.9567734054046753,0.038726341464926074,0.0
311.32,311.6,0.28000000000002956,rescue,85.3533447053404,-0.10691230797529272,0.03582688140273459,0.19999999999998863
311.62,311.82,0.19999999999998863,recovery,87.85155151446388,0.0,0.03473200793469485,0.0
316.96,317.32,0.36000000000001364,tonic,95.9589090051978,-0.07624512095020464,0.03683731846380945,0.160000000000025
317.34,317.5,0.160000000000025,recovery,97.6022648370905,0.0,0.035168685550620235,0.0
318.72,318.92,0.19999999999998863,tonic,96.97725718742412,0.0,0.036678538224354504,0.13999999999998636
318.94,319.08,0.13999999999998636,recovery,97.38215968411848,0.0,0.037237572135349235,0.0
320.28,320.42,0.1400000000000432,tonic,94.64826542579875,0.0,0.03605789202040529,0.13999999999998636
320.44,320.58,0.13999999999998636,recovery,91.49339756873076,-3.2120524601510425,0.040224072602268665,0.0
327.46,327.8,0.34000000000003183,rescue,85.0,-0.5815466884757114,0.035754436145917994,0.28000000000002956
327.82,328.1,0.28000000000002956,recovery,85.0,0.0,0.03516483659680993,0.0
329.9,330.44,0.5400000000000205,rescue,85.0,0.0,0.041797223919400016,0.0
330.46,330.5,0.040000000000020464,tonic,92.72460180614377,0.0,0.0326040098890259,0.10000000000002274
330.52,330.62,0.10000000000002274,recovery,95.14931142684443,-0.07167798380004342,0.03210348706970216,0.0
337.46,337.64,0.18000000000000682,tonic,96.841569744379,0.0,0.033101672176378064,0.4399999999999977
337.66,338.1,0.4399999999999977,recovery,98.72638372066564,0.0,0.03747879592977669,0.0
338.74,339.1,0.36000000000001364,tonic,96.55038801702428,-0.11495780600144201,0.03859950949181621,0.15999999999996817
339.12,339.28,0.15999999999996817,recovery,97.88659241305974,0.0,0.03549726246321546,0.0
340.54,340.64,0.0999999999999659,tonic,95.03125541807664,0.0,0.03445712050537542,0.15999999999996817
340.66,340.82,0.15999999999996817,recovery,93.09721467739044,-2.8429650084064804,0.034800988892254844,0.0
352.64,352.86,0.22000000000002728,tonic,96.9220901259051,0.0,0.03622382042466707,0.4200000000000159
352.88,353.3,0.4200000000000159,recovery,98.64397747111758,-0.5200294119423035,0.036380434177354856,0.0
353.94,354.28,0.339999999999975,tonic,96.47190320444658,-0.09639055829897814,0.03751907346204789,0.15999999999996817
354.3,354.46,0.15999999999996817,recovery,97.71288392229415,0.0,0.04267557540112623,0.0
355.7,355.88,0.18000000000000682,tonic,94.89572734383756,0.0,0.036855240880316,0.1400000000000432
355.9,356.04,0.1400000000000432,recovery,92.17875971119736,-2.947828513632558,0.035553371385543896,0.0
360.34,360.8,0.4600000000000364,rescue,85.0,-0.9106304221902519,0.03720365602849074,0.0
